Id,Date,Duration
166,2021-07-05  04:50,3.5
167,2021-07-06  04:44,5.0
168,2021-07-07  23:30,4.0
169,2021-07-08  23:37,7.5
170,2021-07-09  03:14,0.0
171,2021-07-11  16:54,3.0
172,2021-07-12  04:47,5.5
173,2021-07-13  04:54,3.0
174,2021-07-14  04:44,4.0
175,2021-07-15  05:04,6.0
176,2021-07-16  18:21,1.0
177,2021-07-17  07:34,3.0
178,2021-07-18  05:04,4.5
